Label,cssSelector,tagName,group,relation,extraInfo,returnValue,studentAppLangEN
assignmentDetailPageTitle,[data-tid=text-pageTitle],h1,assignmentListPage,,isInitilized,,"""Assignments"""
assignmentDetailPageSubtitle,[data-tid=text-pageSubTitle],h2,assignmentListPage,,,,"""View current and completed assignments"""
dueAssignmentBtn,[data-tid=button-product-0],button,assignmentListPage,,,,"""Due"""
dueAssignmentCount,[data-tid=chip-[object Object],p,assignmentListPage,,,,"""3"""
due_noAssignmentTitle,[data-tid=text-title-No Students],p,assignmentListPage,,,,"""No Assignments Due"""
due_noAssignmentSubTitle,[data-tid=text-subtitle-No Students],p,assignmentListPage,,,,"""You have no assignments due in this class."""
upcomingAssignmentBtn,[data-tid=button-product-1],button,assignmentListPage,,,,"""Upcoming"""
upcoming_noAssignmentTitle,[data-tid=text-title-No Students],p,assignmentListPage,,,,"""No Upcoming Assignments"""
upcoming_noAssignmentSubTitle,[data-tid=text-subtitle-No Students],p,assignmentListPage,,,,"""Any future assignment set by your teacher will appear here."""
completedAssignmentBtn,[data-tid=button-product-2],button,assignmentListPage,,,,"""Completed"""
completed_noAssignmentTitle,[data-tid=text-title-No Students],p,assignmentListPage,,,,"""No Assignments Found"""
completed_noAssignmentSubTitle,[data-tid=text-subtitle-No Students],p,assignmentListPage,,,,"""You have no assignments completed in this class."""
completeSearchIcon,[data-tid=icon-autocomplete-search],svg,assignmentListPage,,,,
completeSearchTextBox,[data-tid=input-autocomplete-searchtextbox],p,assignmentListPage,,,,
completeResultLbl,[data-tid=label-result],p,assignmentListPage,,,,
assignmentName,[data-tid*=text-assignmentName-,p,assignmentList,parent,pattern,,
activityIcon,[data-tid*=icon-activity-,svg,assignmentList,,pattern,,
assignmentActivityCount,[data-tid*=text-activity-,p,assignmentList,,pattern,,
scoreIcon,[data-tid*=icon-score-,svg,assignmentList,,pattern,,
scoreLabel,[data-tid*=text-score-,p,assignmentList,,pattern,,
dateIcon,[data-tid*=icon-startDueDate-,svg,assignmentList,,pattern,,
dateLabel,[data-tid*=text-startDueDate-,p,assignmentList,,pattern,,
dueDaysPill,[data-tid*=chip-dueDaysPill-,p,assignmentList,,pattern,,
activityProgressText,[data-tid*=text-activitiesProgress-,p,assignmentList,,pattern,,
showActivitiesBtn,[data-tid*=text-toggle-expansion-,button,assignmentList,,pattern,activityList,
collapsibleActvitiesLbl,[data-tid*=text-collapseBandHeader-activities-,p,activityList,parent,pattern,,
collapsibleScoreLbl,[data-tid*=text-collapseBandHeader-activities-,p,activityList,,pattern,,
collapsibleAttemptsLbl,[data-tid*=text-collapseBandHeader-activities-,p,activityList,,pattern,,
activityName,[data-tid*=text-activityName-,p,activityList,parent,pattern,,
activityStatus,[data-tid*=text-activityProgressStatus-,p,activityList,,pattern,,
